timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30.0,Front-left,38.61,14.43,34.1,12.82,-7.0,-0.43,-2.86,-1.4,4.87,30.06,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,33.0,Front-left,41.71,45.42,37.2,43.81,-7.16,-1.13,-2.68,-1.57,5.19,38.66,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,315.0,Front-left,40.27,3.64,35.76,2.03,-8.47,0.11,-2.4,-1.61,4.22,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,317.0,Front,45.62,1.57,41.11,0.0,-8.91,0.18,-2.23,-1.52,4.61,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,320.0,Front,52.51,0.75,48.01,0.0,-8.72,0.09,-2.36,-1.58,5.51,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,324.0,Front,28.04,-0.56,23.54,0.0,3.05,-0.43,-3.33,-2.16,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,325.0,Front,59.25,-0.03,54.74,0.0,-7.37,0.05,-2.36,-1.61,7.43,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,329.0,Front-right,72.64,-2.26,68.13,-0.65,-7.2,0.03,-2.39,-1.63,9.46,21.94,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,333.0,Behind,-22.65,-0.02,-18.14,0.0,2.24,0.03,-3.55,-2.35,8.1,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,338.0,Behind,-35.8,-0.08,-31.3,0.0,-0.76,0.05,-3.55,-2.35,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,30.0,Front-left,37.87,14.41,33.36,12.8,-6.26,-0.48,-3.81,-1.86,5.33,26.62,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,33.0,Front-left,40.94,45.33,36.43,43.72,-6.43,-1.16,-3.58,-2.09,5.67,37.83,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,315.0,Front-left,39.39,3.67,34.88,2.06,-7.76,0.11,-3.2,-2.14,4.49,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,317.0,Front-left,44.7,1.61,40.19,0.0,-8.24,0.19,-2.97,-2.03,4.88,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,320.0,Front,51.61,0.79,47.11,0.0,-8.02,0.09,-3.15,-2.1,5.87,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,324.0,Front,28.33,-0.59,23.82,0.0,3.89,-0.47,-4.49,-2.89,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,325.0,Front,58.48,0.01,53.97,0.0,-6.67,0.06,-3.15,-2.15,8.1,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,329.0,Front-right,71.89,-2.21,67.38,-0.6,-6.5,0.03,-3.19,-2.17,10.37,17.36,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,333.0,Behind,-22.45,-0.03,-17.94,0.0,3.12,0.03,-4.65,-3.07,5.75,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,338.0,Behind,-35.9,-0.09,-31.39,0.0,0.12,0.05,-4.88,-3.24,264.27,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,30.0,Front-left,37.2,14.38,32.69,12.77,-5.84,-0.54,-2.07,-0.71,5.59,23.85,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,33.0,Front-left,40.23,45.24,35.72,43.63,-6.02,-1.18,-1.84,-0.94,5.94,37.03,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,315.0,Front-left,38.57,3.71,34.07,2.1,-7.38,0.11,-1.46,-0.99,4.62,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,317.0,Front-left,43.83,1.66,39.32,0.05,-7.88,0.19,-1.23,-0.88,4.99,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,320.0,Front,50.77,0.83,46.26,0.0,-7.64,0.06,-1.42,-0.95,6.05,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
3.0,324.0,Front,28.68,-0.62,24.18,0.0,4.43,-0.51,-2.81,-1.78,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,325.0,Front,57.77,0.05,53.27,0.0,-6.29,0.06,-1.41,-1.0,8.47,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
3.0,329.0,Front-right,71.2,-2.17,66.7,-0.56,-6.11,0.04,-1.45,-1.02,10.91,13.93,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,333.0,Behind,-22.17,-0.04,-17.66,0.0,3.67,0.04,-3.07,-2.03,4.81,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
