timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,31.0,Front-left,15.73,10.96,11.22,9.35,-7.2,-10.43,-0.35,0.29,1.56,0.9,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,325.0,Behind,-10.77,-0.05,-6.26,0.0,6.67,0.07,0.57,-0.15,0.94,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,344.0,Behind,-34.68,-0.73,-30.17,0.0,11.62,1.92,0.05,0.07,2.6,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,350.0,Front-left,21.71,14.36,17.2,12.75,-2.68,8.77,0.02,2.57,6.42,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,31.0,Front-left,15.2,9.57,10.69,7.96,-8.23,-9.76,-0.89,-0.06,1.3,0.82,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,325.0,Behind,-10.11,0.23,-5.6,0.0,6.65,-0.17,0.41,-0.12,0.84,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,344.0,Behind,-33.52,0.32,-29.02,0.0,11.79,0.8,0.18,0.01,2.46,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,350.0,Front-left,21.85,14.62,17.34,13.01,-2.3,8.45,0.03,3.41,7.52,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,31.0,Front-left,14.48,8.38,9.98,6.77,-9.18,-8.97,-0.45,0.1,1.09,0.75,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,325.0,Behind,-9.45,0.41,-4.94,0.0,6.65,-0.35,0.08,-0.04,0.74,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,344.0,Behind,-32.34,1.06,-27.83,0.0,11.79,0.1,0.65,-0.14,2.36,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,350.0,Front-left,21.93,14.98,17.42,13.37,-2.04,8.12,0.23,3.32,8.54,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
4.0,31.0,Front-left,13.23,8.05,8.73,6.44,-9.62,-8.56,-0.46,0.19,0.91,0.75,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,325.0,Behind,-8.8,0.08,-4.29,0.0,6.73,-0.05,-0.15,0.04,0.64,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,344.0,Behind,-31.19,-0.02,-26.68,0.0,11.77,0.21,0.16,-0.03,2.27,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,350.0,Front-left,21.16,16.53,16.66,14.92,-2.2,7.79,0.14,3.33,7.56,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
5.0,31.0,Front-left,12.08,7.51,7.58,5.9,-10.1,-7.94,-0.76,0.08,0.75,0.74,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
5.0,325.0,Behind,-8.13,-0.07,-3.62,0.0,6.79,0.1,-0.23,0.07,0.53,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
5.0,344.0,Behind,-30.01,-0.56,-25.51,0.0,11.85,0.44,-0.35,0.11,2.15,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
5.0,350.0,Front-left,20.62,17.67,16.11,16.06,-2.2,7.45,0.09,3.38,7.31,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
